"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"103年10月","日本","21883942","4737","52244330","10778","43090937","8996","14227071","3194","34764765","6591","11064937","2052","9749906","2108","15071307","3301","7866244","1572","21948168","3386","13984831","2654","8100315","1481","2909440","574","1523641","349","881120","167","121050","21"
"103年10月","美國","13775158","3044","41329954","8343","35787671","6258","8578948","2580","18968656","4855","5643779","1572","6247700","1492","5619730","1613","5453468","1348","9750391","2452","7316182","1902","4150072","1372","1861290","552","921896","212","367559","136","217459","48"
"103年10月","中國","17095782","5280","25679639","8867","27140656","8975","10845100","4148","24373258","8540","7306254","2717","8217795","3142","6355883","2575","4428957","2529","9030162","4260","7601133","3748","6592567","2292","1983794","1232","1117007","494","829169","549","87529","65"
"103年10月","新加坡","5124704","1340","17424568","3222","18214883","2840","5066998","1477","10282872","2682","3480932","784","2492431","824","3576253","797","4152044","679","4918923","1310","3416739","950","2768073","660","932749","303","345457","113","227239","113","42462","23"
"103年10月","盧森堡","7148727","12994","13422314","24616","11694354","22173","6449731","12965","10311586","21804","3638083","7773","4461557","8589","3305368","7160","2924074","6102","5083456","11087","4901196","9424","2157053","6175","1370008","2999","561956","1280","463859","951","110415","201"
"103年10月","香港","9616298","1373","12576497","2536","11547146","2073","3859241","911","10433324","2197","2488882","581","2651729","552","4478644","548","2094013","406","5190962","953","2978800","580","1856157","389","640625","199","226807","64","220828","63","9280","13"
"103年10月","南韓","4639661","977","8556476","2019","9845304","2293","3749580","812","9691257","1548","2481017","519","2882669","520","3069797","571","1942320","364","4377520","755","3766094","613","2896408","716","914020","113","1113708","191","55076","9","81788","15"
"103年10月","法國","3211321","229","10816489","826","12910960","714","3600914","225","6239367","417","2929041","211","2409545","190","2330951","94","1249456","120","6875704","255","3028923","165","596317","64","266956","43","118509","6","430243","19","1357","1"
"103年10月","義大利","3140721","223","8829657","585","6603000","402","1867992","117","6689691","301","967546","76","2120464","127","932364","99","939324","91","2708620","116","1415527","89","888074","62","422297","44","419124","20","422628","20","39413","11"
"103年11月","英國","18906241","21841","53083984","33393","42495815","33159","24619320","25532","49513686","43017","18717598","15681","18599806","19476","11378662","10811","12249871","13690","23316920","23012","16439789","16942","11836820","13176","6209996","6435","2444325","3718","1631372","1926","337248","440"
"103年11月","日本","21105985","4591","51171743","11219","47915466","9617","16806074","3524","36348771","7336","10622706","2197","10903755","2204","11848338","2779","7733648","1653","18941608","3693","13400743","2872","7928348","1717","2588321","553","1954368","350","791427","117","122317","21"
"103年11月","中國","14138001","5828","32825296","11230","32041988","10559","12277346","5195","27689998","10740","8917675","3268","8900253","3870","6881245","3152","5792483","3112","12080000","5728","9735814","4505","6782330","2786","3166392","1474","904420","501","1080067","603","138369","86"
"103年11月","美國","10033681","3192","38217479","8598","36740702","6853","7751720","2436","24410484","5689","5125241","1755","5359710","1664","5917047","1586","6778425","1791","9469905","3000","6920879","2128","6422444","1493","1968705","644","710768","211","440480","128","121011","88"
"103年11月","盧森堡","7291553","13738","13949046","25614","18805077","22688","6172308","13235","11017572","22994","3858799","8092","4131982","8630","3475123","7341","3016681","6146","5541770","11783","4768679","10037","3048889","6475","1174466","2899","605016","1348","426018","998","142520","221"
"103年11月","新加坡","4675315","1233","16863516","2938","13320046","2627","5022091","1407","10122176","2502","3256368","774","2935319","731","3156839","717","3624156","629","4246471","1188","3721603","799","2692588","612","1152498","347","269305","128","371700","116","90794","21"
"103年11月","香港","7350532","1279","12784465","2268","8466252","1777","3105523","756","9376792","1853","2487880","566","2038019","513","2105492","461","1743720","364","4391231","845","3130411","500","1572727","355","669399","159","616199","70","565219","85","8339","14"
"103年11月","南韓","3747490","851","8480077","1930","10303296","2230","3758168","784","7100930","1357","1522596","320","2271183","430","2140574","365","1919879","400","3960479","673","4425462","743","2384298","560","869383","145","1092170","191","522116","48","31139","6"
"103年11月","法國","2854387","179","9293026","608","11805780","474","1697958","151","4525635","354","519025","57","764993","123","2337444","141","678861","49","1860923","114","4160628","179","424290","25","302754","31","248748","10","93161","4","0","0"
"103年11月","澳門","2645280","150","6963832","280","3751710","203","4458769","187","2442843","195","1909462","65","662327","63","666547","98","750682","66","1754447","137","1267877","66","357304","35","216241","26","32355","9","1170309","22","0","0"
"103年12月","英國","22258793","22161","53165206","33348","50504279","32669","23900655","25289","48606539","42996","20569864","16002","18800704","19824","15286515","11342","12094129","14613","23679980","23666","16135495","16986","13671206","13591","5516019","6832","2756204","3834","2314131","2007","343339","469"
"103年12月","日本","22101270","4903","46096061","10642","48943565","8705","15917374","3397","35405280","6836","9933646","2035","10821498","2062","13003135","2701","7588968","1650","17671288","3437","13300837","2707","7039619","1539","3455359","816","2202742","448","1139325","245","111928","20"
"103年12月","美國","13561709","3406","41351671","9586","32735551","7240","8511237","2636","24611405","5908","6470413","1893","6441208","1880","6785901","1782","5163907","1545","8076055","2963","8561925","2519","5502168","1713","2154449","739","1289451","353","518994","207","238178","140"
"103年12月","中國","15028077","5793","26297936","10207","26471605","9263","11591685","4613","26950428","10117","6792120","3201","8076579","3792","7984549","3228","5625153","3147","10086677","5309","10353903","4767","6067520","2845","2656602","1425","1109738","630","1161639","593","126258","89"
"103年12月","盧森堡","6599299","13265","13894405","24459","18441901","22350","6225694","12809","12383913","23467","4292098","8123","5189467","9707","3880214","7613","3270724","6596","5983398","12240","5287203","10417","3506916","6795","1451064","3310","773714","1623","444867","920","89270","168"
"103年12月","新加坡","5269595","1227","16647663","3119","14359942","2403","4702969","1238","11233002","2448","3819542","808","3068817","878","3326116","708","2577258","652","4748851","1179","3151676","905","2515499","603","1284489","325","1040972","143","286996","91","30516","12"
"103年12月","香港","10447599","1196","11301818","2292","14782893","1946","4380927","906","9108363","1687","2624547","495","2251873","500","4271000","542","3984639","460","6426958","1087","3757697","547","1385514","368","832406","181","346909","92","377294","69","50968","32"
"103年12月","南韓","3898397","843","7672246","1970","8888079","2387","3263159","855","5693164","1459","1351999","282","2157213","419","1452229","348","1594671","280","5332596","964","4354041","673","2572554","561","824136","129","1139948","198","432449","69","86818","12"
"103年12月","法國","1660314","107","5498600","518","5828199","312","1998348","146","3992360","365","511123","92","933408","81","1770798","64","1114858","75","1603779","108","1663827","93","158997","27","183088","16","2524128","37","100975","38","1240","1"
"103年12月","澳門","2862831","182","6142960","282","2994079","231","2357925","102","3414940","238","207425","40","826185","92","439061","58","2016810","58","1057745","111","1089967","80","975283","56","319870","17","1199926","24","317245","26","0","0"
"104年01月","英國","21720761","21091","49987801","31792","51574793","32447","21673922","24159","47929031","42424","19127522","15312","17818211","18620","13175534","11236","13376005","14605","24896427","23160","17659263","16705","12036023","13093","5952516","6945","2732320","3831","1899092","1926","369344","345"
"104年01月","日本","19906972","4754","53035078","12301","49561226","9524","15496080","3422","34511866","7279","11042066","2330","11309293","2226","10988437","2660","7621147","1673","18634843","3763","13358207","2983","7236132","1683","3468619","729","1860141","373","1170192","338","246756","60"
"104年01月","美國","11260966","3191","47174588","8706","37855840","6953","11762660","2670","23176785","5164","4777949","1633","5391512","1779","6353203","1506","4957915","1432","7982702","2641","7343876","2154","5794915","1534","1975712","597","969617","322","420870","117","145254","126"
"104年01月","中國","13953147","5790","27735390","9703","27001489","8840","11841780","4865","24378504","9481","7083782","3082","7591855","3415","6751897","2888","5612519","3028","10480338","5194","8928843","4674","6618839","2855","2268959","1369","999293","521","990853","525","271374","99"
"104年01月","盧森堡","6927563","13931","13751018","24303","15859189","22315","6550527","13311","12071147","23880","4287492","8117","5441056","10098","3487395","7437","3558293","6862","6138924","12711","5309879","10759","3505065","7172","1704128","3517","773252","1568","529867","1065","80270","167"
