日期,收市,開市,高,低,成交量,更改%
2014年5月18日,450.1,452.8,454,449,1.45K,-0.59%
2014年5月19日,443.9,450.1,451.7,441.2,1.35K,-1.39%
2014年5月20日,484.6,443.9,486.2,437.3,1.90K,9.16%
2014年5月21日,488.8,484.6,495.2,481.7,1.40K,0.88%
2014年5月22日,515.4,488.8,519.3,485.5,3.12K,5.43%
2014年5月23日,518.1,515.4,540.9,515.2,2.76K,0.53%
2014年5月24日,520.5,518.1,526.7,510.4,2.86K,0.46%
2014年5月25日,570.4,520.5,575.2,520.5,1.87K,9.60%
2014年5月26日,582,570.4,586.4,564.7,2.96K,2.03%
2014年5月27日,570.1,582,586.2,555.3,3.35K,-2.05%
2014年5月28日,570.8,570.1,581.8,562.6,3.57K,0.13%
2014年5月29日,564.4,570.8,573.8,557.7,3.73K,-1.12%
2014年5月30日,612.3,564.4,613.3,564,6.21K,8.49%
2014年5月31日,627.9,612.3,629,604.7,4.41K,2.54%
2014年6月1日,649.8,627.9,675,622,3.55K,3.48%
2014年6月2日,655.5,649.8,662.6,625.5,4.13K,0.88%
2014年6月3日,669.4,655.5,676.5,631.4,4.36K,2.13%
2014年6月4日,638.9,669.4,669.8,602.1,5.60K,-4.56%
2014年6月5日,660.2,638.9,665.4,635.6,2.76K,3.33%
2014年6月6日,650.4,660.2,663.8,647.1,6.04K,-1.48%
2014年6月7日,651.7,650.4,659.8,641,1.97K,0.19%
2014年6月8日,651,651.7,658.9,648.7,3.31K,-0.10%
2014年6月9日,644.3,651,652.1,639.1,3.26K,-1.03%
2014年6月10日,655.6,644.3,661.4,641.7,3.56K,1.75%
2014年6月11日,643,655.6,663,642.3,3.80K,-1.93%
2014年6月12日,597.1,643,643.8,591.1,4.59K,-7.13%
2014年6月13日,610.3,597.1,619.1,594.9,7.55K,2.21%
2014年6月14日,583.4,610.3,613.8,563.7,5.00K,-4.41%
2014年6月15日,582.3,583.4,587.8,560.8,3.94K,-0.19%
2014年6月16日,599.1,582.3,606.1,580.5,3.99K,2.88%
2014年6月17日,605.1,599.1,608.4,594.9,3.00K,1.00%
2014年6月18日,606.2,605.1,614.4,603.6,3.31K,0.19%
2014年6月19日,600.2,606.2,612.6,598.7,5.60K,-1.00%
2014年6月20日,590.8,600.2,602,587.1,2.15K,-1.57%
2014年6月21日,597,590.8,599.2,584.8,2.28K,1.06%
2014年6月22日,603.6,597,610.1,592,2.04K,1.10%
2014年6月23日,591.2,603.6,604.7,582.9,2.65K,-2.06%
2014年6月24日,588.8,591.2,595.7,585.4,3.08K,-0.41%
2014年6月25日,568.5,588.8,589.6,566.9,3.09K,-3.45%
2014年6月26日,582.7,568.5,582.7,565.8,4.15K,2.51%
2014年6月27日,602.2,582.7,603.9,580.1,3.39K,3.35%
2014年6月28日,597.6,602.2,608.8,594,2.94K,-0.78%
2014年6月29日,601.1,597.6,604.3,593.2,2.89K,0.59%
2014年6月30日,635.1,601.1,637.3,596.5,3.83K,5.67%
2014年7月1日,643.2,635.1,652.5,634.1,4.11K,1.27%
2014年7月2日,645.7,643.2,652.1,604.6,4.78K,0.39%
2014年7月3日,638,645.7,646.4,633.6,4.01K,-1.19%
2014年7月4日,624,638,642.2,623,3.60K,-2.21%
2014年7月5日,623,624,627.8,619.7,3.25K,-0.16%
2014年7月6日,626.7,623,629.4,622.7,2.70K,0.59%
2014年7月7日,613.6,626.7,627.9,607.3,2.53K,-2.08%
2014年7月8日,615.3,613.6,619.7,609.3,3.21K,0.28%
2014年7月9日,623,615.3,623.8,610.5,3.07K,1.25%
2014年7月10日,618.4,623,625,611.7,3.61K,-0.74%
2014年7月11日,632.9,618.4,633.6,616.1,3.12K,2.35%
2014年7月12日,635.9,632.9,638.6,625.9,3.43K,0.47%
2014年7月13日,628,635.9,638.6,627.5,1.70K,-1.24%
2014年7月14日,618.3,628,629,616.1,2.55K,-1.55%
2014年7月15日,619.6,618.3,624.4,617.3,3.69K,0.21%
2014年7月16日,614.8,619.6,622.4,614.2,3.00K,-0.77%
2014年7月17日,626.6,614.8,632.5,610,2.92K,1.92%
2014年7月18日,627.5,626.6,630.2,617.9,3.35K,0.14%
